_id,term,frequency,kb_id,type
67118a08a620e436ef12a6e6,108667,3,,DATE
67118a08a620e436ef12a6ef,1st-sy-trfd,3,,DATE
67118a08a620e436ef12a6f3,year,1080,,DATE
67118a08a620e436ef12a6f7,mo,1338,,DATE
67118a08a620e436ef12a6f9,7 65 9 65,3,,DATE
67118a08a620e436ef12a6fc,501343,3,,DATE
67118a08a620e436ef12a707,n4-15-56  n6-6-56  n10-20-56  n3-12-58  n2-5-63,3,,DATE
67118a08a620e436ef12a708,n10-24-67,3,,DATE
67118a08a620e436ef12a70c,n10-12-71,3,,DATE
67118a08a620e436ef12a70e,n4-18-56,3,,DATE
67118a08a620e436ef12a719,27-8185)4-1684,3,,DATE
67118a08a620e436ef12a71b,"april 17, 1919",9,,DATE
67118a08a620e436ef12a721,april 8,18,,DATE
67118a08a620e436ef12a722,april 9,54,,DATE
67118a08a620e436ef12a727,"april 9, 1964",3,,DATE
67118a08a620e436ef12a728,"july 17, 1964",3,,DATE
67118a08a620e436ef12a729,"august 4, 1966",3,,DATE
67118a08a620e436ef12a72f,"january 3, 1958",9,,DATE
67118a08a620e436ef12a738,"july 18, 1909",3,,DATE
67118a08a620e436ef12a73a,60282-c&o,3,,DATE
67118a08a620e436ef12a73e,may 1945,15,,DATE
67118a08a620e436ef12a748,month year month year,3,,DATE
67118a08a620e436ef12a749,9-21-71,3,,DATE
67118a08a620e436ef12a753,50662,6,,DATE
67118a08a620e436ef12a758,3/25-8/25,3,,DATE
67118a08a620e436ef12a768,1929,588,,DATE
67118a08a620e436ef12a76d,dec. 6-24-37,3,,DATE
67118a08a620e436ef12a770,"dec. 13-41

",3,,DATE
67118a08a620e436ef12a776,1937 to 1943,6,,DATE
67118a08a620e436ef12a77e,"august 1, 1917",3,,DATE
67118a08a620e436ef12a780,"december 31, 1961",6,,DATE
67118a08a620e436ef12a784,1368-171,3,,DATE
67118a08a620e436ef12a786,"july 26, 1886",3,,DATE
67118a08a620e436ef12a787,"april 18, 1914",3,,DATE
67118a08a620e436ef12a78e,54785,6,,DATE
67118a08a620e436ef12a79c,15 days,117,,DATE
67118a08a620e436ef12a7ae,oct,633,,DATE
