_id,term,frequency,kb_id,type
67118a08a620e436ef12a6ee,sd,3,,GPE
67118a08a620e436ef12a6f4,ohio,22785,,GPE
67118a08a620e436ef12a6f6,yr,2670,,GPE
67118a08a620e436ef12a6fa,i.d.,1029,,GPE
67118a08a620e436ef12a6fb,soc,5175,,GPE
67118a08a620e436ef12a70b,brunswick,1716,,GPE
67118a08a620e436ef12a71c,holloway,423,,GPE
67118a08a620e436ef12a751,"st. louis
born",3,,GPE
67118a08a620e436ef12a757,st. louis: n,3,,GPE
67118a08a620e436ef12a75c,rochelle,9,,GPE
67118a08a620e436ef12a762,cone,72,,GPE
67118a08a620e436ef12a77d,md.,12747,,GPE
67118a08a620e436ef12a77f,maryland,9693,,GPE
67118a08a620e436ef12a789,yatesboro,3,,GPE
67118a08a620e436ef12a78a,pa,729,,GPE
67118a08a620e436ef12a799,pa.,5697,,GPE
67118a08a620e436ef12a7a5,transpoitation,3,,GPE
67118a08a620e436ef12a7aa,jgt,3,,GPE
67118a08a620e436ef12a7ab,e.o.,9,,GPE
67118a08a620e436ef12a7bf,resring,3,,GPE
67118a08a620e436ef12a7c0,perriesburg,3,,GPE
67118a08a620e436ef12a802,b.,24,,GPE
67118a08a620e436ef12a804,trenton,36,,GPE
67118a08a620e436ef12a80e,acctg,165,,GPE
67118a08a620e436ef12a815,aud,159,,GPE
67118a08a620e436ef12a840,omaha,36,,GPE
67118a08a620e436ef12a841,neb.,6,,GPE
67118a08a620e436ef12a854,trainmaster,210,,GPE
67118a08a620e436ef12a858,franklin,132,,GPE
67118a08a620e436ef12a867,appld,369,,GPE
67118a08a620e436ef12a86a,m.p.,375,,GPE
67118a08a620e436ef12a874,nc,66,,GPE
67118a08a620e436ef12a87f,beckley,3,,GPE
67118a08a620e436ef12a889,brakeman,1695,,GPE
67118a08a620e436ef12a8a9,midland,18,,GPE
67118a08a620e436ef12a8c2,tel,24,,GPE
67118a08a620e436ef12a8c5,newark del.,3,,GPE
67118a08a620e436ef12a8c6,del.,258,,GPE
67118a08a620e436ef12a8dc,chicago,5262,,GPE
67118a08a620e436ef12a8de,willard,2229,,GPE
67118a08a620e436ef12a8e2,sck,3,,GPE
67118a08a620e436ef12a8e4,ill.,1161,,GPE
67118a08a620e436ef12a8fb,somerset,93,,GPE
67118a08a620e436ef12a8fd,antonio,12,,GPE
67118a08a620e436ef12a91e,toledo,4515,,GPE
67118a08a620e436ef12a925,harrison,129,,GPE
67118a08a620e436ef12a929,loco,339,,GPE
67118a08a620e436ef12a938,niagara,12,,GPE
67118a08a620e436ef12a93a,buffalo,486,,GPE
67118a08a620e436ef12a962,chicora,9,,GPE
67118a08a620e436ef12a972,clendenin,264,,GPE
67118a08a620e436ef12a992,pennsylvania,1704,,GPE
67118a08a620e436ef12a995,dallas,57,,GPE
67118a08a620e436ef12a9a5,sarni,3,,GPE
67118a08a620e436ef12a9aa,philadelphia pa.,6,,GPE
67118a08a620e436ef12a9af,philadelphia,1719,,GPE
67118a08a620e436ef12a9b3,indiana,1338,,GPE
67118a08a620e436ef12a9b7,indiana district,9,,GPE
67118a08a620e436ef12a9b9,north bend,6,,GPE
67118a08a620e436ef12a9c0,steinbock,6,,GPE
67118a08a620e436ef12a9cd,alida,15,,GPE
67118a08a620e436ef12a9f5,furlad,6,,GPE
67118a08a620e436ef12aa12,nbalto,9,,GPE
67118a08a620e436ef12aa35,elgin,9,,GPE
67118a08a620e436ef12aa41,"new
r68578",3,,GPE
67118a08a620e436ef12aa44,gary,39,,GPE
67118a08a620e436ef12aa46,carman helper,231,,GPE
67118a08a620e436ef12aa5a,flagman,480,,GPE
67118a08a620e436ef12aa5d,carpt,276,,GPE
67118a08a620e436ef12aa5e,belpre,21,,GPE
67118a08a620e436ef12aa70,detroit,69,,GPE
67118a08a620e436ef12aa78,edwards,279,,GPE
67118a08a620e436ef12aa9c,russell,63,,GPE
67118a08a620e436ef12aac3,manhattan,33,,GPE
67118a08a620e436ef12aad7,mckeesport,24,,GPE
67118a08a620e436ef12aae4,shop laborer,222,,GPE
67118a08a620e436ef12aaf8,co buffalo,3,,GPE
67118a08a620e436ef12ab09,chillicothe .27,3,,GPE
67118a08a620e436ef12ab1c,jr.,450,,GPE
67118a08a620e436ef12ab22,bend,3,,GPE
67118a08a620e436ef12ab2d,belmont,33,,GPE
67118a08a620e436ef12ab2e,york,18,,GPE
67118a08a620e436ef12ab39,alexandria,12,,GPE
67118a08a620e436ef12ab3a,ky,129,,GPE
67118a08a620e436ef12ab3e,ludlow,3,,GPE
67118a08a620e436ef12ab3f,ky.,255,,GPE
67118a08a620e436ef12ab40,cincinnati,2073,,GPE
67118a08a620e436ef12ab41,ohio mo,6,,GPE
67118a08a620e436ef12ab44,st.louis o ci,3,,GPE
67118a08a620e436ef12ab4c,po,57,,GPE
67118a08a620e436ef12ab56,discon,12,,GPE
67118a08a620e436ef12ab61,"glenwood glenwood
laborer
laborer",3,,GPE
67118a08a620e436ef12ab76,loans hoboken,3,,GPE
67118a08a620e436ef12ab83,pinkowsk,3,,GPE
67118a08a620e436ef12ab8b,helmseme,3,,GPE
67118a08a620e436ef12aba2,bartas,3,,GPE
67118a08a620e436ef12abae,hazelton,48,,GPE
67118a08a620e436ef12abe0,owings,6,,GPE
67118a08a620e436ef12abf0,appls,9,,GPE
67118a08a620e436ef12ac03,trfd,276,,GPE
67118a08a620e436ef12ac05,louisville,117,,GPE
67118a08a620e436ef12ac1a,electrician,405,,GPE
67118a08a620e436ef12ac1e,fourchot,3,,GPE
67118a08a620e436ef12ac20,walter,78,,GPE
67118a08a620e436ef12ac33,bloch,3,,GPE
67118a08a620e436ef12ac43,novak,12,,GPE
