_id,term,frequency,kb_id,type
67118a08a620e436ef12a754,illinois,951,,LOC
67118a08a620e436ef12a75e,delvan rochelle,6,,LOC
67118a08a620e436ef12a834,miscel,1767,,LOC
67118a08a620e436ef12a842,dist,1539,,LOC
67118a08a620e436ef12a87b,mt. clare yd,15,,LOC
67118a08a620e436ef12a890,yard helper,630,,LOC
67118a08a620e436ef12a896,boyce,21,,LOC
67118a08a620e436ef12a93c,buffalo creek,51,,LOC
67118a08a620e436ef12a94f,trans increas rele,3,,LOC
67118a08a620e436ef12aae8,laborer shop,210,,LOC
67118a08a620e436ef12ab63,"rs591
.49",3,,LOC
67118a08a620e436ef12ac37,furld,312,,LOC
67118a08a620e436ef12ac53,south end,75,,LOC
67118a08a620e436ef12aca3,"curtis bay
rate",3,,LOC
67118a08a620e436ef12ad5c,mars,18,,LOC
67118a08a620e436ef12ae25,east end baltimore division,27,,LOC
67118a08a620e436ef12ae45,mrpt,3,,LOC
67118a08a620e436ef12ae94,youngstown,240,,LOC
67118a08a620e436ef12aeb8,east end-,15,,LOC
67118a08a620e436ef12aeba,the west end-baltimore division,6,,LOC
67118a08a620e436ef12aef3,"04.113 r3.00
",3,,LOC
67118a08a620e436ef12afe9,laborer-f-s.,3,,LOC
67118a08a620e436ef12b015,r.o,6,,LOC
67118a08a620e436ef12b074,aggr,294,,LOC
67118a08a620e436ef12b080,east salamanca,39,,LOC
67118a08a620e436ef12b091,oil spur,3,,LOC
67118a08a620e436ef12b094,east shoals,6,,LOC
67118a08a620e436ef12b0bf,"mt. pleasant
rate",3,,LOC
67118a08a620e436ef12b0c0,mt. pleasant,6,,LOC
67118a08a620e436ef12b0c2,l.f.,9,,LOC
67118a08a620e436ef12b156,mt. st.,3,,LOC
67118a08a620e436ef12b18d,laborer youngstown,3,,LOC
67118a08a620e436ef12b19b,moundsville,63,,LOC
67118a08a620e436ef12b19d,fairmont,906,,LOC
67118a08a620e436ef12b1f2,keyser,513,,LOC
67118a08a620e436ef12b21a,le fevre,3,,LOC
67118a08a620e436ef12b250,delcy louis p.,3,,LOC
67118a09a620e436ef12b28e,atlantic,24,,LOC
67118a09a620e436ef12b311,balto,291,,LOC
67118a09a620e436ef12b328,.56,144,,LOC
67118a09a620e436ef12b3ac,l 3 ocean left service,3,,LOC
67118a09a620e436ef12b3f4,"middle 
",3,,LOC
67118a09a620e436ef12b4d3,"balto reventually
rư-79",3,,LOC
67118a09a620e436ef12b4e0,shenahan,3,,LOC
67118a09a620e436ef12b508,north vernon,303,,LOC
67118a09a620e436ef12b6c5,nw,33,,LOC
67118a09a620e436ef12b78c,de intrierbol supv,3,,LOC
67118a09a620e436ef12b87a,purd,18,,LOC
67118a09a620e436ef12b893,.81,93,,LOC
67118a09a620e436ef12b8e9,philly turn,3,,LOC
67118a09a620e436ef12b96c,".53
",3,,LOC
67118a09a620e436ef12ba42,nb23023,3,,LOC
67118a09a620e436ef12bb23,"glenwood
o.",3,,LOC
67118a09a620e436ef12bbe3,acspl,132,,LOC
67118a09a620e436ef12bc69,mt. clare balto sta,3,,LOC
67118a09a620e436ef12bc91,south dayton,12,,LOC
67118a09a620e436ef12bdf4,yard helpr,3,,LOC
67118a09a620e436ef12be8f,coller,3,,LOC
67118a09a620e436ef12bebd,"laborer
truckman",3,,LOC
67118a09a620e436ef12bffd,the east end cumberland division,12,,LOC
67118a09a620e436ef12c0cf,"loc
fueld",3,,LOC
67118a09a620e436ef12c121,east end -,3,,LOC
67118a09a620e436ef12c126,east end - balto,3,,LOC
67118a09a620e436ef12c174,mt. clare jct,6,,LOC
67118a09a620e436ef12c1c0,mt. vernon,45,,LOC
67118a0aa620e436ef12c236,rscrd,3,,LOC
67118a0aa620e436ef12c2d5,"po co 
pond",3,,LOC
67118a0aa620e436ef12c301,elem,3,,LOC
67118a0aa620e436ef12c34b,west end-baltimore division,12,,LOC
67118a0aa620e436ef12c400,12- -65,3,,LOC
67118a0aa620e436ef12c457,cteva toledo,3,,LOC
67118a0aa620e436ef12c487,curtis bay,171,,LOC
67118a0aa620e436ef12c490,mill creek,18,,LOC
67118a0aa620e436ef12c4f9,mt.jewett,12,,LOC
67118a0aa620e436ef12c52a,wye,12,,LOC
67118a0aa620e436ef12c60e,"phillip
service",3,,LOC
67118a0aa620e436ef12c671,east,138,,LOC
67118a0aa620e436ef12c7b1,esttn,3,,LOC
67118a0aa620e436ef12c863,the new track,3,,LOC
67118a0aa620e436ef12c8b0,"w.o.
hlpr",3,,LOC
67118a0aa620e436ef12c8bd,gassaway,162,,LOC
67118a0aa620e436ef12c969,"signal helper
buffalo",3,,LOC
67118a0aa620e436ef12c985,pamrngcrnw s sturg,3,,LOC
67118a0aa620e436ef12c987,pocanintan,3,,LOC
67118a0aa620e436ef12c98c,west jet,3,,LOC
67118a0aa620e436ef12c993,greenfield,30,,LOC
67118a0aa620e436ef12caf3,"dubois
dubois",6,,LOC
67118a0aa620e436ef12caf7,elpr,27,,LOC
67118a0aa620e436ef12cb08,north siding road,3,,LOC
67118a0aa620e436ef12cbaa,pres coal,3,,LOC
67118a0aa620e436ef12cbff,central storage siding,3,,LOC
