_id,term,frequency,kb_id,type
67118a08a620e436ef12a6dd,.78,120,,MONEY
67118a08a620e436ef12a704,116840,3,,MONEY
67118a08a620e436ef12a717,108827,3,,MONEY
67118a08a620e436ef12a7b2,6.10,9,,MONEY
67118a08a620e436ef12a7b3,9.50,12,,MONEY
67118a08a620e436ef12a7b4,9.75,3,,MONEY
67118a08a620e436ef12a7b6,9.25,12,,MONEY
67118a08a620e436ef12a7b7,5.75,30,,MONEY
67118a08a620e436ef12a7b8,6.75,15,,MONEY
67118a08a620e436ef12a7b9,6.25,45,,MONEY
67118a08a620e436ef12a830,6.03,3,,MONEY
67118a08a620e436ef12a83f,560.00,3,,MONEY
67118a08a620e436ef12a871,13.r 7.40,3,,MONEY
67118a08a620e436ef12a873,3.30,123,,MONEY
67118a08a620e436ef12a884,1300.00,3,,MONEY
67118a08a620e436ef12a887,180.00,21,,MONEY
67118a08a620e436ef12a88a,50.00,117,,MONEY
67118a08a620e436ef12a89c,116953,3,,MONEY
67118a08a620e436ef12a8db,4826,3,,MONEY
67118a08a620e436ef12a8e0,4.30,9,,MONEY
67118a08a620e436ef12a919,610522,3,,MONEY
67118a08a620e436ef12a95a,176.76,3,,MONEY
67118a08a620e436ef12a95d,103867,3,,MONEY
67118a08a620e436ef12a9c2,33144,3,,MONEY
67118a08a620e436ef12aa24,.75,72,,MONEY
67118a08a620e436ef12aa25,.80,12,,MONEY
67118a08a620e436ef12aa7d,4358,6,,MONEY
67118a08a620e436ef12aa80,3994.7,3,,MONEY
67118a08a620e436ef12aa82,4217,3,,MONEY
67118a08a620e436ef12aa86,203,6,,MONEY
67118a08a620e436ef12aa9e,222448,3,,MONEY
67118a08a620e436ef12aaf1,225.26,3,,MONEY
67118a08a620e436ef12aaf2,213.11,3,,MONEY
67118a08a620e436ef12ab43,48,75,,MONEY
67118a08a620e436ef12abe6,# 22802a,3,,MONEY
67118a08a620e436ef12abfa,58.72,3,,MONEY
67118a08a620e436ef12ac89,330789,3,,MONEY
67118a08a620e436ef12ad48,.85,66,,MONEY
67118a08a620e436ef12ad7f,122.98,3,,MONEY
67118a08a620e436ef12ad81,335.42,3,,MONEY
67118a08a620e436ef12ada3,3105,3,,MONEY
67118a08a620e436ef12adac,151772,3,,MONEY
67118a08a620e436ef12adb0,165.00,15,,MONEY
67118a08a620e436ef12adb1,155.00,3,,MONEY
67118a08a620e436ef12adb2,175.00,9,,MONEY
67118a08a620e436ef12ae29,163,6,,MONEY
67118a08a620e436ef12ae36,359.90,3,,MONEY
67118a08a620e436ef12ae62,# 2 i.d.,3,,MONEY
67118a08a620e436ef12ae71,45,117,,MONEY
67118a08a620e436ef12ae7f,"3,500 dollars",3,,MONEY
67118a08a620e436ef12aed3,0.65,12,,MONEY
67118a08a620e436ef12af15,6230,3,,MONEY
67118a08a620e436ef12af56,961,3,,MONEY
67118a08a620e436ef12af57,2148,3,,MONEY
67118a08a620e436ef12af71,4,174,,MONEY
67118a08a620e436ef12af9c,p-12507,3,,MONEY
67118a08a620e436ef12afa4,13502,3,,MONEY
67118a08a620e436ef12afa9,246052,3,,MONEY
67118a08a620e436ef12aff3,36431,3,,MONEY
67118a08a620e436ef12b022,"5,0-481",3,,MONEY
67118a08a620e436ef12b046,775.00,12,,MONEY
67118a08a620e436ef12b049,80.00,378,,MONEY
67118a08a620e436ef12b054,650033,3,,MONEY
67118a08a620e436ef12b05e,731.00,3,,MONEY
67118a08a620e436ef12b060,15.66,12,,MONEY
67118a08a620e436ef12b06e,26377,3,,MONEY
67118a08a620e436ef12b07c,62.60,3,,MONEY
67118a08a620e436ef12b10a,406175,3,,MONEY
67118a08a620e436ef12b111,23.10,3,,MONEY
67118a08a620e436ef12b112,4.39,3,,MONEY
67118a08a620e436ef12b113,1.85,6,,MONEY
67118a08a620e436ef12b114,4.18,3,,MONEY
67118a08a620e436ef12b18b,401800,3,,MONEY
67118a08a620e436ef12b197,100170,3,,MONEY
67118a08a620e436ef12b20b,2541,3,,MONEY
67118a08a620e436ef12b20c,314,3,,MONEY
67118a08a620e436ef12b222,750,21,,MONEY
67118a09a620e436ef12b276,1.57,12,,MONEY
67118a09a620e436ef12b277,163.45,3,,MONEY
67118a09a620e436ef12b2c5,41.00,9,,MONEY
67118a09a620e436ef12b39f,rk,6,,MONEY
67118a09a620e436ef12b3b5,55,69,,MONEY
67118a09a620e436ef12b3b7,31,90,,MONEY
67118a09a620e436ef12b422,650030           annuity,3,,MONEY
67118a09a620e436ef12b45c,38.29,3,,MONEY
67118a09a620e436ef12b46d,67.60 73.00 least service,3,,MONEY
67118a09a620e436ef12b47d,185.00,3,,MONEY
67118a09a620e436ef12b48d,192.67,3,,MONEY
67118a09a620e436ef12b48f,157.10,3,,MONEY
67118a09a620e436ef12b520,.88,3,,MONEY
67118a09a620e436ef12b524,1.80-$2.40,3,,MONEY
67118a09a620e436ef12b53b,72,123,,MONEY
67118a09a620e436ef12b5a3,294,3,,MONEY
67118a09a620e436ef12b5a5,409616,3,,MONEY
67118a09a620e436ef12b5a9,1068,3,,MONEY
67118a09a620e436ef12b617,4/1/10 tt 41.20,3,,MONEY
67118a09a620e436ef12b631,156.49,3,,MONEY
67118a09a620e436ef12b653,118,3,,MONEY
