_id,term,frequency,kb_id,type
67118a08a620e436ef12a6d9,social security no,5454,,ORG
67118a08a620e436ef12a6df,.87,15,,ORG
67118a08a620e436ef12a6e1,"m.p.e.s.c.
service dates occupation division department location rate of pay remarks information relating to change in service",3,,ORG
67118a08a620e436ef12a6e3,paul,186,,ORG
67118a08a620e436ef12a6e7,appr,975,,ORG
67118a08a620e436ef12a6e9,r/1307-a comp,3,,ORG
67118a08a620e436ef12a6eb,je,9,,ORG
67118a08a620e436ef12a6ec,h&b & trfd,3,,ORG
67118a08a620e436ef12a6ed,chp,6,,ORG
67118a08a620e436ef12a6f2,branch bank type of discharge,9,,ORG
67118a08a620e436ef12a6f5,college cincinnati,3,,ORG
67118a08a620e436ef12a6f8,reily public school reily,3,,ORG
67118a08a620e436ef12a6fd,division dept,57,,ORG
67118a08a620e436ef12a6fe,occupation tol-ind,3,,ORG
67118a08a620e436ef12a700,gordon,78,,ORG
67118a08a620e436ef12a703,p-202189 supplementary records,3,,ORG
67118a08a620e436ef12a705,machst,252,,ORG
67118a08a620e436ef12a706,l.f. brunswick loco,3,,ORG
67118a08a620e436ef12a70d,nr2505-lv.6mos.2nd.yr,3,,ORG
67118a08a620e436ef12a70f,furl mac,3,,ORG
67118a08a620e436ef12a710,r524-l perf,3,,ORG
67118a08a620e436ef12a711,nb99- f perf,3,,ORG
67118a08a620e436ef12a712,nr2001,3,,ORG
67118a08a620e436ef12a716,miscell no,3,,ORG
67118a08a620e436ef12a723,university hospital,567,,ORG
67118a08a620e436ef12a726,locust point,102,,ORG
67118a08a620e436ef12a731,tulman,3,,ORG
67118a08a620e436ef12a733,date mech,3,,ORG
67118a08a620e436ef12a734,no.07 pwcw rate inc.,3,,ORG
67118a08a620e436ef12a735,do.34 d rate inc,3,,ORG
67118a08a620e436ef12a736,regid n3412/2,3,,ORG
67118a08a620e436ef12a739,crouse,3,,ORG
67118a08a620e436ef12a73c,cers dept of social security,3,,ORG
67118a08a620e436ef12a73d,b&o form perford b&o,3,,ORG
67118a08a620e436ef12a73f,usa,1230,,ORG
67118a08a620e436ef12a741,b&o - m o ew,3,,ORG
67118a08a620e436ef12a742,baltimore,62274,,ORG
67118a08a620e436ef12a743,los transportation c -4,3,,ORG
67118a08a620e436ef12a745,fisher,42,,ORG
67118a08a620e436ef12a747,branch,666,,ORG
67118a08a620e436ef12a74a,h hh h hh h incapacitated h hh h hh,3,,ORG
67118a08a620e436ef12a74c,"ohio railroad company
name",2094,,ORG
67118a08a620e436ef12a750,"machinist
place",6,,ORG
67118a08a620e436ef12a755,st. louis,819,,ORG
67118a08a620e436ef12a75b,ohio railroad company,20715,,ORG
67118a08a620e436ef12a75f,cone roundhouse,3,,ORG
67118a08a620e436ef12a760,re'ain,3,,ORG
67118a08a620e436ef12a761,helper carman,351,,ORG
67118a08a620e436ef12a764,pmc,15,,ORG
67118a08a620e436ef12a767,r.d. certf,6,,ORG
67118a08a620e436ef12a769,mechanical dept,6,,ORG
67118a08a620e436ef12a76a,carman helper buffalo m.p.,3,,ORG
