_id,term,frequency,kb_id,type
67118a08a620e436ef12a6d7,la monica,3,,PERSON
67118a08a620e436ef12a6d8,sam born,6,,PERSON
67118a08a620e436ef12a6da,div,12390,,PERSON
67118a08a620e436ef12a6db,d. s. m w clg,3,,PERSON
67118a08a620e436ef12a6dc,"r. hy ac
1-14-43",3,,PERSON
67118a08a620e436ef12a6de,rcl chgd,3,,PERSON
67118a08a620e436ef12a6e0,sam la monica,3,,PERSON
67118a08a620e436ef12a6e2,cisasp,3,,PERSON
67118a08a620e436ef12a6e4,r. d. cert,687,,PERSON
67118a08a620e436ef12a6e5,m.p.e.s.c. tj,3,,PERSON
67118a08a620e436ef12a6e8,reappr,3,,PERSON
67118a08a620e436ef12a6ea,ii brooklyne,3,,PERSON
67118a08a620e436ef12a6f0,paul cisasp,3,,PERSON
67118a08a620e436ef12a6f1,david middle eugene,6,,PERSON
67118a08a620e436ef12a6ff,david eugene haven,3,,PERSON
67118a08a620e436ef12a701,joseph franklin,9,,PERSON
67118a08a620e436ef12a702,r.d. cert,519,,PERSON
67118a08a620e436ef12a709,repr,105,,PERSON
67118a08a620e436ef12a70a,m.c. repr,3,,PERSON
67118a08a620e436ef12a713,joseph franklin gordon,3,,PERSON
67118a08a620e436ef12a714,clarence e.,3,,PERSON
67118a08a620e436ef12a715,r. d cert,30,,PERSON
67118a08a620e436ef12a718,mong m. p. holloway 6-8-63,3,,PERSON
67118a08a620e436ef12a71a,clarence e. conter,3,,PERSON
67118a08a620e436ef12a71d,joffe,6,,PERSON
67118a08a620e436ef12a71e,max,30,,PERSON
67118a08a620e436ef12a71f,max joffe,15,,PERSON
67118a08a620e436ef12a725,helper carmen,36,,PERSON
67118a08a620e436ef12a72a,william henry,12,,PERSON
67118a08a620e436ef12a72b,"william h. lewis - waiter - violation rule 1,",3,,PERSON
67118a08a620e436ef12a72c,steward p.s. sampson,3,,PERSON
67118a08a620e436ef12a72d,car 1066,3,,PERSON
67118a08a620e436ef12a72e,william h. lewis,3,,PERSON
67118a08a620e436ef12a730,p.s. sampson,3,,PERSON
67118a08a620e436ef12a732,james born date,3,,PERSON
67118a08a620e436ef12a737,james tulman,3,,PERSON
67118a08a620e436ef12a73b,middle leslie,3,,PERSON
67118a08a620e436ef12a740,crouse john leslie,3,,PERSON
67118a08a620e436ef12a744,john leslie crouse,3,,PERSON
67118a08a620e436ef12a746,dorothy middle ann,6,,PERSON
67118a08a620e436ef12a74b,dorothy ann fisher,3,,PERSON
67118a08a620e436ef12a74d,haran,6,,PERSON
67118a08a620e436ef12a74e,john p.,9,,PERSON
67118a08a620e436ef12a74f,alias j.p. o'haran,6,,PERSON
67118a08a620e436ef12a752,r.d. certif,822,,PERSON
67118a08a620e436ef12a756,m. - p.,3,,PERSON
67118a08a620e436ef12a759,f.e. bagby,3,,PERSON
67118a08a620e436ef12a75a,john p. haran,3,,PERSON
67118a08a620e436ef12a75d,delvan lloyd date of,3,,PERSON
67118a08a620e436ef12a763,helper machinist,54,,PERSON
67118a08a620e436ef12a765,liggs,3,,PERSON
67118a08a620e436ef12a766,stanley harry,3,,PERSON
67118a08a620e436ef12a76b,resigna,6,,PERSON
67118a08a620e436ef12a76c,carmen hpr,18,,PERSON
67118a08a620e436ef12a76e,carmen helper - - 0.63,3,,PERSON
67118a08a620e436ef12a771,carmen imprs,3,,PERSON
67118a08a620e436ef12a772,insp,102,,PERSON
67118a08a620e436ef12a775,stanley harry liggs,3,,PERSON
