_id,term,frequency,kb_id,type
67118a08a620e436ef12a720,approximately 11 pm,3,,TIME
67118a08a620e436ef12a724,this date,2598,,TIME
67118a08a620e436ef12a870,"40-y b. 7.40
 11-23-38",3,,TIME
67118a08a620e436ef12a8b7,9/69779a incapacitated ltr,3,,TIME
67118a08a620e436ef12a908,"16 8-1-18
 ",3,,TIME
67118a08a620e436ef12a9e2,10 per hour,3,,TIME
67118a08a620e436ef12a9ee,12868 no,3,,TIME
67118a08a620e436ef12aa4b,21143 labour relamp,3,,TIME
67118a08a620e436ef12aa99,11:20 p.m.,9,,TIME
67118a08a620e436ef12aabf,20 minutes,15,,TIME
67118a08a620e436ef12ab67,5:30 pm,18,,TIME
67118a08a620e436ef12abde,8:15 pm,6,,TIME
67118a08a620e436ef12ac49,9:54 am,3,,TIME
67118a08a620e436ef12ac72,7-8 56,3,,TIME
67118a08a620e436ef12ad4e,66-e-823 82,3,,TIME
67118a08a620e436ef12ae01,10-10 32 ',3,,TIME
67118a08a620e436ef12aead,11:55 p.m.,6,,TIME
67118a08a620e436ef12af55,8:50 pm,6,,TIME
67118a08a620e436ef12af64,10-24-20 19732,3,,TIME
67118a08a620e436ef12af88,1400 p.m.,3,,TIME
67118a08a620e436ef12b023,4200 2 2463 %,3,,TIME
67118a08a620e436ef12b1c4,three hour,3,,TIME
67118a08a620e436ef12b1c9,3 hours,24,,TIME
67118a08a620e436ef12b241,7:00 am until pm,3,,TIME
67118a08a620e436ef12b257,11:45 pm,18,,TIME
67118a09a620e436ef12b29e,32 12044,3,,TIME
67118a09a620e436ef12b30b,"2212
edt:",3,,TIME
67118a09a620e436ef12b35d,7–1–37                     ,3,,TIME
67118a09a620e436ef12b39d,11-752es9050,3,,TIME
67118a09a620e436ef12b3b4,5:00 a.m.,9,,TIME
67118a09a620e436ef12b470,4-5:59,3,,TIME
67118a09a620e436ef12b4e7,25 30,3,,TIME
67118a09a620e436ef12b547,25 minutes,9,,TIME
67118a09a620e436ef12b54e,16 minutes,3,,TIME
67118a09a620e436ef12b5dd,7:15 am,9,,TIME
67118a09a620e436ef12b5df,11:30 pm,12,,TIME
67118a09a620e436ef12b5e0,sixty minutes,3,,TIME
67118a09a620e436ef12b62d,44 pm hr,3,,TIME
67118a09a620e436ef12b639,12- 1 -51 fr,3,,TIME
67118a09a620e436ef12b667,8.06 am,3,,TIME
67118a09a620e436ef12b66b,9:35 am mod,3,,TIME
67118a09a620e436ef12b70f,night,51,,TIME
67118a09a620e436ef12b715,10:57 pm,3,,TIME
67118a09a620e436ef12b716,11:55 pm,30,,TIME
67118a09a620e436ef12b72a,the 11:59 p.m. yard,3,,TIME
67118a09a620e436ef12b773,last      first,3,,TIME
67118a09a620e436ef12b7bc,hours,351,,TIME
67118a09a620e436ef12b7d3,54 hrs,9,,TIME
67118a09a620e436ef12b7df,"about 10:45 p.m., july 31st",3,,TIME
67118a09a620e436ef12b879,16-3 11,3,,TIME
67118a09a620e436ef12b897,9:50 a.m.,6,,TIME
67118a09a620e436ef12b8a0,10:30 pm,45,,TIME
67118a09a620e436ef12b8b1,12-40 am yd,3,,TIME
67118a09a620e436ef12b8ea,5.25 p.m. engine,3,,TIME
67118a09a620e436ef12b8ec,morning,57,,TIME
67118a09a620e436ef12ba02,9:30 pm,15,,TIME
67118a09a620e436ef12ba48,7:10 pm,3,,TIME
67118a09a620e436ef12ba4b,5:15 pm,6,,TIME
67118a09a620e436ef12bb09,4-45,18,,TIME
67118a09a620e436ef12bb41,12:37 pm,3,,TIME
67118a09a620e436ef12bb4b,1:00 pm,21,,TIME
67118a09a620e436ef12bb4d,2:00,12,,TIME
67118a09a620e436ef12bbbe,11.00 pm yard,3,,TIME
67118a09a620e436ef12bbc3,11:00 p.m.,9,,TIME
67118a09a620e436ef12bc1c,14-70,3,,TIME
67118a09a620e436ef12bc2a,25 to 30 minutes,3,,TIME
67118a09a620e436ef12bc73,1 hour,30,,TIME
67118a09a620e436ef12bc78,45 minutes,18,,TIME
67118a09a620e436ef12bc84,7 am to 3 pm,3,,TIME
67118a09a620e436ef12bc85,11.44 am,3,,TIME
67118a09a620e436ef12bc87,10 am,9,,TIME
67118a09a620e436ef12bc8e,approximately 5:30 am,3,,TIME
67118a09a620e436ef12bc8f,8:20 am,6,,TIME
67118a09a620e436ef12bc90,3:00 pm,30,,TIME
67118a09a620e436ef12bc95,11:00 pm,30,,TIME
67118a09a620e436ef12bc96,15 minutes late,3,,TIME
67118a09a620e436ef12bd66,9-3c-60 9-8-60 9-28-60 11-3-60 9-9-61 5-3-61 1-2-62 2-14-62 3-14-62 3-18-62 12-10-64 3-26-65,3,,TIME
67118a09a620e436ef12bd70,r6601-f/4 57,3,,TIME
67118a09a620e436ef12bd8f,50¢ per hour,9,,TIME
67118a09a620e436ef12be07,9-00 8-24 24,3,,TIME
67118a09a620e436ef12be08,10-54 24,3,,TIME
67118a09a620e436ef12be09,1:00 12-54 24,3,,TIME
67118a09a620e436ef12be0a,2:00 1-54 24,3,,TIME
67118a09a620e436ef12be0b,5:40 00-20 24,3,,TIME
67118a09a620e436ef12be60,4 1966,6,,TIME
67118a09a620e436ef12beaf,11:30 p.m.,15,,TIME
67118a09a620e436ef12bf08,4-12 1,3,,TIME
67118a09a620e436ef12bfa9,60 days,366,,TIME
67118a09a620e436ef12c04d,182408 2rn-18,3,,TIME
67118a09a620e436ef12c104,9ervice              ...                                      ,3,,TIME
67118a09a620e436ef12c1aa,"a-99, 2:30 p.m.",3,,TIME
67118a09a620e436ef12c1b5,6.00 80 hrs,3,,TIME
67118a09a620e436ef12c1c4,4 minutes,6,,TIME
67118a0aa620e436ef12c1ef,1:55 and 2:15,3,,TIME
67118a0aa620e436ef12c1f0,7 hours and 45 minutes,3,,TIME
67118a0aa620e436ef12c1f2,15 minutes,33,,TIME
67118a0aa620e436ef12c1f3,35 hours,3,,TIME
67118a0aa620e436ef12c1f4,1 hour and 8 minutes,3,,TIME
67118a0aa620e436ef12c1f7,10:30,12,,TIME
67118a0aa620e436ef12c1f9,2 hours and 45 minutes,3,,TIME
67118a0aa620e436ef12c353,2:00 am,12,,TIME
67118a0aa620e436ef12c354,8 am,12,,TIME
67118a0aa620e436ef12c362,8 hrs,15,,TIME
67118a0aa620e436ef12c3b0,four hrs,3,,TIME
67118a0aa620e436ef12c41f,8:35 a.m. #3,3,,TIME
67118a0aa620e436ef12c421,17 mins,3,,TIME
67118a0aa620e436ef12c577,8:10 pm,9,,TIME
67118a0aa620e436ef12c57a,7:00 pm,6,,TIME
67118a0aa620e436ef12c57b,"12:25 am july 13, 1944",3,,TIME
67118a0aa620e436ef12c5d4,7:25 am,3,,TIME
67118a0aa620e436ef12c5d6,9:15 am,3,,TIME
67118a0aa620e436ef12c632,2 am,9,,TIME
67118a0aa620e436ef12c650,10:15 a.m.,9,,TIME
67118a0aa620e436ef12c651,one hour 45 minutes,3,,TIME
67118a0aa620e436ef12c6bf,9:55 a.m.,3,,TIME
67118a0aa620e436ef12c6c2,3:30 a.m.,6,,TIME
67118a0aa620e436ef12c6c3,4:00 a.m.,6,,TIME
67118a0aa620e436ef12c6c8,between 4:00 a.m. and,3,,TIME
67118a0aa620e436ef12c6c9,approximately 40 minutes,3,,TIME
67118a0aa620e436ef12c6ca,11:00 p.m. cooks,3,,TIME
67118a0aa620e436ef12c6cb,between 4:15 a.m. and 5:15 a.m.,3,,TIME
67118a0aa620e436ef12c6d1,12:29 pm,3,,TIME
67118a0aa620e436ef12c6e9,p.m.,42,,TIME
67118a0aa620e436ef12c70e,2:00 p.m. - on,3,,TIME
67118a0aa620e436ef12c7cd,2 3/4 minutes at 7:15 pm,3,,TIME
67118a0aa620e436ef12c81b,7:00 am,42,,TIME
67118a0aa620e436ef12c884,70-l-750 jo 7,3,,TIME
67118a0aa620e436ef12c8fe,9 hrs .68 40 hrs,6,,TIME
67118a0aa620e436ef12c92a,11:00,12,,TIME
67118a0aa620e436ef12c92d,11:00 p.m,3,,TIME
67118a0aa620e436ef12c92e,12:30am and i:30 a.m.,3,,TIME
67118a0aa620e436ef12c95c,35                wdm                                                             6734,3,,TIME
67118a0aa620e436ef12c95f,27 40,3,,TIME
67118a0aa620e436ef12c98d,approximately 1 hour and 15 minutes,3,,TIME
67118a0aa620e436ef12c991,1 hour 10 minutes,6,,TIME
67118a0aa620e436ef12c9a6,this cars night,3,,TIME
